offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
133.0 to 133.25,"[7, 9]","['A5', 'G5']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
134.0 to 134.25,"[6, 7]","['F#5', 'G5']","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
135.0 to 135.0,"[2, 5, 7, 11]","['B3', 'D5', 'F4', 'G4']","[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]"
136.0 to 136.875,"[2, 4, 5, 7, 11]","['B3', 'D4', 'D5', 'E5', 'F5', 'G4']","[0, 0, 2, 0, 1, 1, 0, 1, 0, 0, 0, 1]"
137.0 to 137.0,"[0, 4, 7]","['C4', 'E5', 'G4']","[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
138.0 to 138.66666669999998,"[7, 9]","['A5', 'G5']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
139.0 to 139.66666669999998,"[0, 9, 11]","['A5', 'B5', 'C6']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
140.0 to 140.66666669999998,"[4, 5, 7]","['E5', 'F5', 'G5']","[0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]"
141.0 to 141.0,"[2, 5, 7, 11]","['B3', 'D5', 'F4', 'G4']","[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]"
142.0 to 142.875,"[2, 4, 5, 7, 11]","['B3', 'D4', 'D5', 'E5', 'F5', 'G4']","[0, 0, 2, 0, 1, 1, 0, 1, 0, 0, 0, 1]"
143.0 to 143.875,"[0, 4, 5, 7]","['C4', 'E5', 'F5', 'G4']","[1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]"
144.0 to 144.875,"[0, 4, 7]","['C5', 'E3', 'E4', 'E5', 'G5']","[1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0]"
145.0 to 145.0,"[0, 4, 7]","['C5', 'E4', 'G3', 'G4']","[1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]"
146.0 to 146.875,"[0, 2, 7, 9, 11]","['A4', 'B4', 'C5', 'D4', 'G2', 'G3']","[1, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 1]"
